code,C_total,N_total,P_total
VB001,10.965,0.73,1325
VB002,6.75,0.49,1030
VB003,7.86,0.551,1265
VB004,7.232,0.511,1267
VB005,7.124,0.523,1215
VB006,7.063,0.521,970
VB007,5.038,0.392,1402
VB008,4.269,0.338,1243
VB009,4.154,0.322,1213
VB010,4.304,0.341,1190
VB011,4.873,0.375,1412
VB012,4.713,0.392,1428
VB013,4.209,0.338,1145
VB014,3.501,0.301,1119
VB015,4.309,0.391,1265
VB016,4.551,0.358,1137
VB017,5.014,0.399,1408
VB018,6.588,0.431,891
VB019,5.804,0.534,1258
VB020,5.173,0.457,1231
VB021,6.05,0.514,1342
VB022,6.326,0.559,1432
VB023,6.291,0.538,1467
VB024,5.924,0.532,1393
VB025,3.051,0.241,1980
VB026,5.292,0.387,1923
VB027,6.146,0.431,1376
VB028,6.068,0.408,3500
VB029,6.611,0.47,1854
VB030,7.226,0.453,3377
VB031,4.73,0.321,950
VB032,4.139,0.303,1282
VB033,3.99,0.331,993
VB034,4.254,0.345,898
VB035,4.11,0.341,1017
VB036,3.701,0.298,819
VB037,4.766,0.37,854
VB038,4.452,0.333,945
VB039,6.982,0.525,1760
VB040,5.714,0.414,1330
VB041,5.947,0.444,1209
VB042,4.36,0.322,953
VB043,2.204,0.145,244
VB044,1.985,0.128,255
VB045,2.809,0.182,340
VB046,2.208,0.163,414
VB047,2.61,0.163,352
VB048,2.376,0.167,390
VB049,2.987,0.197,766
VB050,2.985,0.178,512
VB051,2.065,0.153,716
VB052,2.654,0.199,780
VB053,2.955,0.179,743
VB054,3.634,0.21,484
VB055,3.244,0.183,580
VB056,3.06,0.17,408
VB057,2.754,0.181,392
VB058,5.647,0.297,309
VB059,4.577,0.215,511
VB060,1.392,0.093,230
VB061,3.06,0.182,572
VB062,6.438,0.293,501
VB063,4.302,0.202,320
VB064,4.097,0.215,342
VB065,3.645,0.237,471
VB066,6.751,0.304,503
VB067,2.505,0.211,577
VB068,2.464,0.207,640
VB069,2.333,0.247,564
VB070,2.261,0.211,510
VB071,2.539,0.235,527
VB072,2.306,0.224,850
VB073,3.713,0.315,441
VB074,3.129,0.241,435
VB075,2.446,0.178,283
VB076,6.762,0.373,372
VB077,5.348,0.347,624
VB078,4.774,0.312,436
VB081,2.446,0.192,774
VB082,2.265,0.182,902
VB083,2.477,0.181,521
VB084,2.284,0.172,521
VB085,2.631,0.19,595
VB086,2.277,0.185,593
VB087,2.125,0.191,648
VB088,2.774,0.198,955
VB089,1.682,0.15,622
VB090,1.979,0.174,652
VB091,2.205,0.18,783
VB092,1.993,0.204,605
VB093,1.787,0.156,765
VB094,2.638,0.201,724
VB095,1.666,0.158,529
VB096,2.191,0.186,781
VB097,3.169,0.174,203
VB098,3.432,0.183,168
VB099,6.279,0.299,192
VB100,4.051,0.206,163
VB101,3.347,0.194,171
VB102,3.246,0.19,130
VB103,1.296,0.136,427
VB104,1.273,0.144,403
VB105,1.123,0.13,501
VB106,1.042,0.102,611
VB107,1.005,0.114,602
VB108,1.151,0.116,486
VB109,1.756,0.164,663
VB110,1.567,0.154,694
VB111,1.587,0.159,654
VB112,1.601,0.163,710
VB113,1.372,0.136,647
VB114,1.552,0.16,752
VB115,3.035,0.184,449
VB116,3.317,0.19,430
VB117,2.22,0.139,279
VB118,3.31,0.194,548
VB119,2.808,0.146,378
VB120,2.585,0.158,337
VB121,2.559,0.155,594
VB122,2.479,0.149,528
VB123,2.245,0.123,400
VB124,2.488,0.148,527
VB125,2.674,0.162,570
VB126,2.545,0.145,527
VB127,3.805,0.234,1044
VB128,3.328,0.225,1096
VB129,2.823,0.21,900
VB130,2.372,0.161,817
VB131,2.432,0.155,809
VB132,2.542,0.172,638
VB133,1.942,0.137,472
VB134,1.497,0.113,519
VB135,1.781,0.123,683
VB136,3.232,0.169,288
VB137,1.611,0.113,571
VB138,1.898,0.128,537
VB139,1.376,0.106,655
VB140,1.631,0.119,597
VB141,1.761,0.136,634
VB142,1.441,0.109,534
VB143,1.959,0.142,754
VB144,1.518,0.111,583
VB145,2.205,0.159,841
VB146,2.738,0.191,930
VB147,2.409,0.183,970
VB148,1.698,0.129,854
VB149,2.178,0.165,886
VB150,2.735,0.178,870
VB151,3.487,0.231,974
VB152,3.04,0.239,1118
VB153,3.365,0.247,1073
VB154,3.386,0.262,1221
VB155,3.049,0.227,931
VB156,2.151,0.178,850
VB157,1.499,0.135,838
VB158,1.167,0.13,795
VB159,1.452,0.149,986
VB160,1.109,0.118,804
VB161,1.265,0.13,1017
VB162,1.318,0.144,1006
VB163,2.455,0.184,249
VB164,2.367,0.177,278
VB165,1.349,0.112,256
VB166,2.766,0.206,282
VB167,1.781,0.147,202
VB168,1.426,0.122,268
VB169,2.577,0.206,1086
VB170,2.648,0.231,1052
VB171,1.898,0.189,875
VB172,2.544,0.231,1133
VB173,2.133,0.22,978
VB174,1.748,0.178,911
VB175,2.031,0.211,444
VB176,2.488,0.252,549
VB177,2.305,0.245,530
VB178,4.414,0.368,806
VB179,3.917,0.366,1316
VB180,3.374,0.321,699
VB181,1.149,0.132,1078
VB182,1.366,0.149,843
VB183,1.625,0.174,990
VB184,1.34,0.146,905
VB185,1.414,0.164,1040
VB186,1.251,0.16,773
VB187,3.998,0.306,538
VB188,2.362,0.218,513
VB189,2.452,0.228,385
VB190,2.657,0.239,469
VB191,4.578,0.347,598
VB192,2.425,0.244,429
VB193,1.158,0.132,785
VB194,1.109,0.134,1089
VB195,1.319,0.138,1104
VB196,1.078,0.13,762
VB197,1.18,0.13,758
VB198,1.152,0.133,796
VB199,4.826,0.438,1085
VB200,4.845,0.456,1138
VB201,4.463,0.429,1148
VB202,4.344,0.414,1038
VB203,3.891,0.398,944
VB204,4.549,0.433,1039
VB205,2.426,0.271,905
VB206,2.837,0.286,1073
VB207,2.933,0.301,1290
VB208,2.716,0.278,1084
VB209,2.621,0.257,1052
VB210,2.131,0.225,1018
VB211,2.238,0.249,1507
VB212,2.301,0.25,1574
VB213,2.257,0.237,1508
VB214,2.919,0.269,1370
VB215,2.113,0.241,1411
VB216,2.233,0.25,1448
VB217,3.187,0.231,644
VB218,3.665,0.261,599
VB219,3.486,0.254,597
VB220,4.003,0.261,642
VB221,4.006,0.279,592
VB222,3.594,0.267,1004
VB223,3.34,0.339,1167
VB224,3.626,0.339,1037
VB225,3.229,0.301,1121
VB226,2.651,0.258,1107
VB227,3.168,0.286,993
VB228,3.216,0.299,966
VB229,2.539,0.19,810
VB230,3.059,0.226,873
VB231,2.218,0.169,697
VB232,2.598,0.216,773
VB233,2.191,0.185,974
VB234,2.845,0.225,788
VB235,1.921,0.192,712
VB236,2.401,0.241,761
VB237,3.02,0.291,1048
VB238,3.456,0.319,1172
VB239,3.439,0.316,982
VB240,3.06,0.283,998
VB241,2.757,0.214,1075
VB242,3.002,0.247,951
VB243,2.813,0.219,1019
VB244,3.664,0.233,905
VB245,2.696,0.201,951
VB246,2.909,0.249,961
VB247,2.635,0.218,705
VB248,2.639,0.214,662
VB249,2.807,0.222,808
VB250,2.651,0.225,775
VB251,2.387,0.195,714
VB252,2.482,0.195,809
VB253,2.515,0.193,781
VB254,2.404,0.201,1096
VB255,2.56,0.203,885
VB256,2.529,0.199,1023
VB257,2.889,0.216,854
VB258,2.241,0.172,965
VB259,2.213,0.2,830
VB260,2.651,0.235,845
VB261,2.34,0.204,817
VB262,2.712,0.227,796
VB263,2.362,0.221,784
VB264,2.401,0.208,836
VB265,6.86,0.461,981
VB266,4.683,0.332,826
VB267,3.842,0.309,820
VB268,3.943,0.303,658
VB269,5.891,0.388,878
VB270,3.132,0.263,600
VB271,4.931,0.357,913
VB272,4.33,0.32,901
