code;plot_nr;location;landuse;year_of_landuse;soil_type_map;date;time;lat_dec;long_dec;air_t;soil_moisture;ec;soil_t;organic_layer;compost_worms;soil_eating_worms;pendelaars;ph_kcl;moisture_percentage;som_percentage;b.d.;nr_nematodes_gr_dry;NO2_NO3_mg_kg;NH4_mg_kg;Total_P_mg_kg;Olsen_P_mg_kg;Oxalaat_P_mg_kg;CEC_Ka_mg_kg;CEC_Mg_mg_kg;CEC_Ca_mg_kg;CEC_Na_mg_kg;CEC_Al_mg_kg;CEC_Ir_mg_kg;Bacteria_total;Microbial;Actinobacteria_total;Fungi_total;Total_plfa;AMF_NLFA;Mites_oribatid_kg;Mites_other_kg;Springtails_nr_kg;Abundance_anecic;Abundance_endogeic;Abundance_epigeic;Abundance_juvenile;Biomass_anecic;Biomass_endogeic;Biomass_epigeic;Biomass_juvenile
VB001;1;Haarzuilens;Food_forest;2015;Clay;26-4-2021;10:30;52,125295;5,006826833;8;32,6;95;10,9;0,5;1;2;0;6;62,0;5,211;0,74;24,35244478;35,89948145;11,01914639;1325;54,5;583,5;234,5;660,7;10678;34,8;0;0;38,76581298;10,20961297;6,385718647;1,991581999;53,90354263;1,588667196;594,9;331,7;274;0;2;1;62;0;0,64;0,11;6,13
VB002;2;Haarzuilens;Food_forest;2015;Clay;26-4-2021;11:35;52,125515;5,007165;11;26,5;96;13,8;0,25;NA;NA;NA;4,66;61,7;4,159;0,84;36,28309707;29,67159114;10,22659213;1030;40,5;364,1;242;569,5;7059;29,9;0;0;40,47433394;11,09945501;7,180851463;2,780966954;56,83858418;1,764268088;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB003;3;Haarzuilens;Food_forest;2015;Clay;26-4-2021;12:35;52,12509;5,006703333;12;33,9;101;12,1;0;5;13;0;5,98;56,2;4,133;0,75;34,47839717;34,68909073;10,99910171;1265;55,7;518,3;235,3;581;8462;40,9;0;0;40,57138824;11,72258362;7,071870653;2,736936434;57,52511089;1,319187432;442,2;396,5;210,6;0;18;2;39;0;6,03;0,2;3,44
VB004;4;Haarzuilens;Food_forest;2015;Clay;26-4-2021;13:15;52,12518667;5,007105;13;26,5;104;16,7;0,25;NA;NA;NA;5,66;54,6;4,231;0,7;32,70183058;21,4677983;8,791812282;1267;47,6;412;244,4;635,6;7524;39,4;0;0;44,71968435;11,80585909;7,790319254;2,6788505;62,06694151;1,687136835;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB005;5;Haarzuilens;Food_forest;2015;Clay;26-4-2021;13:53;52,12511667;5,007016667;13;47,6;99;16,2;0,5;3;21;0;5,33;57,1;5,197;0,79;28,79005593;21,25485897;8,143127679;1215;43,5;413,3;293,8;608,9;7291;37,1;0;0;38,11911947;9,988877153;6,858187513;2,020246939;52,5928135;1,460767922;1446,7;410,2;272,4;0;8;1;18;0;1,92;0,04;0,86
VB006;6;Haarzuilens;Food_forest;2015;Clay;26-4-2021;14:45;52,12555167;5,006898333;14;28,9;108;17,8;0,5;NA;NA;NA;4,02;53,1;5,348;0,78;4,210800883;17,97909408;18,43703335;970;32,5;375,7;189,1;554,7;5506;34,2;0;6,7;36,51799172;11,13256144;6,843706971;2,087971356;51,53435911;1,18114335;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB007;1;Haarzuilens;Grassland;NA;Clay;26-4-2021;15:29;52,12286167;5,00351;15;44,3;125;13,5;0;3;7;0;6,53;37,0;3,527;0,85;24,56340212;30,15100338;10,33181005;1402;106,3;572,1;1322,7;567,6;4588;31,8;0;0;42,71063355;10,97360584;6,651360058;2,416250001;59,98627155;2,854651276;583,1;556,7;131,9;4;35;0;37;12,79;14,79;0;8,54
VB008;2;Haarzuilens;Grassland;NA;Clay;26-4-2021;15:59;52,12308667;5,003675;15;36,7;124;13,6;0;NA;NA;NA;6,15;36,5;3,066;1,04;19,1021258;36,86127745;11,52694611;1243;91,8;505,8;1246,6;593,6;4235;41,5;0;0;39,60555524;10,29236085;6,518554038;2,070474922;55,33533979;2,239988521;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB009;3;Haarzuilens;Grassland;NA;Clay;26-4-2021;16:20;52,12264333;5,003283333;16;33,1;113;13;0;0;12;0;5,46;30,6;3,916;0,85;36,6826541;18,49855246;11,89977039;1213;82,8;500,3;1494,3;563,4;2345;42,6;0;0;31,49129438;9,539864365;4,894251403;2,271188559;46,09553119;1,985025013;375,6;467,1;814,3;1;16;0;26;2,44;6,21;0;4,69
VB010;4;Haarzuilens;Grassland;NA;Clay;26-4-2021;16:40;52,12255833;5,003411667;16;34;133;13,4;0;NA;NA;NA;5,75;39,3;2,507;0,87;82,12890849;30,38423154;13,03892216;1190;58,5;482,5;1335,9;632,8;3439;48,7;0;0;44,34388988;11,82288243;6,985758964;2,61873812;62,45389867;2,207683892;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
