vb_code;ff_code;treatment_code;litter_sp;mesh_size;litter_mass_loss_final;notes
VB037;FF010;S1;Alder;Fine;0,418673942;
VB037;FF011;S2;Hazel;Fine;0,340975532;
VB037;FF012;S3;Chestnut;Fine;0,188736609;
VB037;FF013;M1;Alder;Medium;0,457093344;
VB037;FF014;M2;Hazel;Medium;0,704241165;
VB037;FF015;M3;Chestnut;Medium;0,266225705;
VB037;FF016;L1;Alder;Coarse;0,788805624;
VB037;FF017;L2;Hazel;Coarse;0,571242696;
VB037;FF018;L3;Chestnut;Coarse;0,282556185;
VB038;FF019;S1;Alder;Fine;0,49449908;
VB038;FF020;S2;Hazel;Fine;0,666621873;
VB038;FF021;S3;Chestnut;Fine;0,414860183;
VB038;FF022;M1;Alder;Medium;0,460948134;
VB038;FF023;M2;Hazel;Medium;0,803912513;
VB038;FF024;M3;Chestnut;Medium;0,257414991;
VB038;FF025;L1;Alder;Coarse;0,622738251;
VB038;FF026;L2;Hazel;Coarse;0,784019579;
VB038;FF027;L3;Chestnut;Coarse;0,309663847;
VB039;FF028;S1;Alder;Fine;0,575970266;
VB039;FF029;S2;Hazel;Fine;0,680130263;
VB039;FF030;S3;Chestnut;Fine;0,248577699;
VB039;FF031;M1;Alder;Medium;0,504505502;
VB039;FF032;M2;Hazel;Medium;0,814088161;
VB039;FF033;M3;Chestnut;Medium;0,346482268;
VB039;FF034;L1;Alder;Coarse;0,588441729;
VB039;FF035;L2;Hazel;Coarse;0,727791594;
VB039;FF036;L3;Chestnut;Coarse;0,245953843;
VB040;FF037;S1;Alder;Fine;0,406871903;
VB040;FF038;S2;Hazel;Fine;0,651722502;
VB040;FF039;S3;Chestnut;Fine;0,254637556;
VB040;FF040;M1;Alder;Medium;0,612651039;
VB040;FF041;M2;Hazel;Medium;0,70378695;
VB040;FF042;M3;Chestnut;Medium;0,154397418;
VB040;FF043;L1;Alder;Coarse;0,436481752;
VB040;FF044;L2;Hazel;Coarse;0,460117426;
VB040;FF045;L3;Chestnut;Coarse;0,245008194;
VB031;FF046;S1;Alder;Fine;0,389521898;
VB031;FF047;S2;Hazel;Fine;0,456717127;
VB031;FF048;S3;Chestnut;Fine;0,186799331;
VB031;FF049;M1;Alder;Medium;0,525304948;
VB031;FF050;M2;Hazel;Medium;0,860001611;
VB031;FF051;M3;Chestnut;Medium;0,086018505;
VB031;FF052;L1;Alder;Coarse;0,936306458;
VB031;FF053;L2;Hazel;Coarse;0,647996228;
VB031;FF054;L3;Chestnut;Coarse;0,366785315;
VB032;FF055;S1;Alder;Fine;0,800753535;
VB032;FF056;S2;Hazel;Fine;0,370759929;
VB032;FF057;S3;Chestnut;Fine;0,147984069;
VB032;FF058;M1;Alder;Medium;0,668745782;
VB032;FF059;M2;Hazel;Medium;0,554235898;
VB032;FF060;M3;Chestnut;Medium;0,188388576;
VB032;FF061;L1;Alder;Coarse;0,516200117;
VB032;FF062;L2;Hazel;Coarse;0,359793251;
VB032;FF063;L3;Chestnut;Coarse;0,082892334;
VB033;FF064;S1;Alder;Fine;0,417540413;
VB033;FF065;S2;Hazel;Fine;0,466766042;
VB033;FF066;S3;Chestnut;Fine;0,22197204;
VB033;FF067;M1;Alder;Medium;0,614823669;
VB033;FF068;M2;Hazel;Medium;0,921657173;
VB033;FF069;M3;Chestnut;Medium;0,269158347;
VB033;FF070;L1;Alder;Coarse;1;
VB033;FF071;L2;Hazel;Coarse;0,487084904;
VB033;FF072;L3;Chestnut;Coarse;0,248478357;
VB034;FF073;S1;Alder;Fine;NA;not found in the field
VB034;FF074;S2;Hazel;Fine;0,418257071;
VB034;FF075;S3;Chestnut;Fine;0,242517842;
VB034;FF076;M1;Alder;Medium;0,535988224;
VB034;FF077;M2;Hazel;Medium;0,85506577;
VB034;FF078;M3;Chestnut;Medium;0,214753802;
VB034;FF079;L1;Alder;Coarse;0,800100268;
VB034;FF080;L2;Hazel;Coarse;0,850475093;
VB034;FF081;L3;Chestnut;Coarse;0,139500268;
VB121;FF091;S1;Alder;Fine;0,535337436;
VB121;FF092;S2;Hazel;Fine;0,414142178;
VB121;FF093;S3;Chestnut;Fine;0,267430588;
VB121;FF094;M1;Alder;Medium;0,447444914;
VB121;FF095;M2;Hazel;Medium;0,519258706;
VB121;FF096;M3;Chestnut;Medium;0,14432342;
VB121;FF097;L1;Alder;Coarse;0,545780201;
VB121;FF098;L2;Hazel;Coarse;0,755717097;
VB121;FF099;L3;Chestnut;Coarse;0,237669956;
VB122;FF100;S1;Alder;Fine;0,413251384;
VB122;FF101;S2;Hazel;Fine;0,570312637;
VB122;FF102;S3;Chestnut;Fine;0,231399321;
VB122;FF103;M1;Alder;Medium;0,353265574;
VB122;FF104;M2;Hazel;Medium;0,544394986;
VB122;FF105;M3;Chestnut;Medium;0,262487826;
VB122;FF106;L1;Alder;Coarse;0,535091582;
VB122;FF107;L2;Hazel;Coarse;0,905686181;
VB122;FF108;L3;Chestnut;Coarse;0,117280792;
VB123;FF109;S1;Alder;Fine;NA;not found in the field
VB123;FF110;S2;Hazel;Fine;0,453331854;
VB123;FF111;S3;Chestnut;Fine;0,244972468;
VB123;FF112;M1;Alder;Medium;0,548180593;
VB123;FF113;M2;Hazel;Medium;0,803256702;
VB123;FF114;M3;Chestnut;Medium;0,173075153;
VB123;FF115;L1;Alder;Coarse;0,463504396;
VB123;FF116;L2;Hazel;Coarse;0,86914283;
VB123;FF117;L3;Chestnut;Coarse;0,168991574;
VB124;FF118;S1;Alder;Fine;0,434107377;
VB124;FF119;S2;Hazel;Fine;0,72134936;
VB124;FF120;S3;Chestnut;Fine;0,231085328;
VB124;FF121;M1;Alder;Medium;0,28663233;
VB124;FF122;M2;Hazel;Medium;0,647610892;
VB124;FF123;M3;Chestnut;Medium;0,175859412;
VB124;FF124;L1;Alder;Coarse;0,583165341;
VB124;FF125;L2;Hazel;Coarse;0,518169316;
VB124;FF126;L3;Chestnut;Coarse;0,228883163;
VB115;FF127;S1;Alder;Fine;0,348769559;
VB115;FF128;S2;Hazel;Fine;NA;not found in the field
VB115;FF129;S3;Chestnut;Fine;NA;not found in the field
VB115;FF130;M1;Alder;Medium;NA;not found in the field
VB115;FF131;M2;Hazel;Medium;NA;not found in the field
VB115;FF132;M3;Chestnut;Medium;NA;not found in the field
VB115;FF133;L1;Alder;Coarse;0,156673007;
VB115;FF134;L2;Hazel;Coarse;NA;not found in the field
VB115;FF135;L3;Chestnut;Coarse;NA;not found in the field
VB116;FF136;S1;Alder;Fine;NA;found broken
VB116;FF137;S2;Hazel;Fine;NA;not found in the field
VB116;FF138;S3;Chestnut;Fine;0,168991574;
VB116;FF139;M1;Alder;Medium;NA;negative value
VB116;FF140;M2;Hazel;Medium;0,33318075;
VB116;FF141;M3;Chestnut;Medium;0,116546264;
VB116;FF142;L1;Alder;Coarse;NA;not found in the field
VB116;FF143;L2;Hazel;Coarse;NA;not found in the field
VB116;FF144;L3;Chestnut;Coarse;0,015853394;
VB117;FF145;S1;Alder;Fine;0,415950394;
VB117;FF146;S2;Hazel;Fine;0,533807812;
VB117;FF147;S3;Chestnut;Fine;0,235129797;
VB117;FF148;M1;Alder;Medium;0,890251128;
VB117;FF149;M2;Hazel;Medium;0,489285877;
VB117;FF150;M3;Chestnut;Medium;0,113043818;
VB117;FF151;L1;Alder;Coarse;0,932054059;
VB117;FF152;L2;Hazel;Coarse;0,914744571;
VB117;FF153;L3;Chestnut;Coarse;0,16466185;
VB118;FF154;S1;Alder;Fine;0,296921287;
VB118;FF155;S2;Hazel;Fine;0,345037702;
VB118;FF156;S3;Chestnut;Fine;0,199038366;
VB118;FF157;M1;Alder;Medium;0,375915736;
VB118;FF158;M2;Hazel;Medium;0,449404937;
VB118;FF159;M3;Chestnut;Medium;NA;negative value
VB118;FF160;L1;Alder;Coarse;NA;negative value
VB118;FF161;L2;Hazel;Coarse;0,780771753;
VB118;FF162;L3;Chestnut;Coarse;NA;negative value
VB001;FF172;S1;Alder;Fine;0,562719337;
VB001;FF173;S2;Hazel;Fine;0,410790256;
VB001;FF174;S3;Chestnut;Fine;0,251325774;
VB001;FF175;M1;Alder;Medium;0,8228013;
VB001;FF176;M2;Hazel;Medium;0,611738389;
VB001;FF177;M3;Chestnut;Medium;0,175859412;
VB001;FF178;L1;Alder;Coarse;0,478202906;
VB001;FF179;L2;Hazel;Coarse;0,923270114;
VB001;FF180;L3;Chestnut;Coarse;0,181582611;
VB002;FF181;S1;Alder;Fine;NA;not found in the field
VB002;FF182;S2;Hazel;Fine;NA;not found in the field
VB002;FF183;S3;Chestnut;Fine;NA;not found in the field
VB002;FF184;M1;Alder;Medium;NA;not found in the field
VB002;FF185;M2;Hazel;Medium;NA;not found in the field
VB002;FF186;M3;Chestnut;Medium;NA;not found in the field
VB002;FF187;L1;Alder;Coarse;NA;not found in the field
VB002;FF188;L2;Hazel;Coarse;NA;not found in the field
VB002;FF189;L3;Chestnut;Coarse;NA;not found in the field
VB003;FF190;S1;Alder;Fine;0,464974247;
VB003;FF191;S2;Hazel;Fine;0,526969876;
VB003;FF192;S3;Chestnut;Fine;0,253122592;
VB003;FF193;M1;Alder;Medium;0,645359362;
VB003;FF194;M2;Hazel;Medium;0,493263042;
VB003;FF195;M3;Chestnut;Medium;0,221821099;
VB003;FF196;L1;Alder;Coarse;0,851381735;
VB003;FF197;L2;Hazel;Coarse;1;weight after <0.01
VB003;FF198;L3;Chestnut;Coarse;NA;negative value
VB004;FF199;S1;Alder;Fine;0,701418509;
