code;plot_nr;location;landuse;year_of_landuse;soil_type_map;date;time;lat_dec;long_dec;ec;ph_kcl;moisture_percentage;som_percentage;b.d.;Total_P_mg_kg;Olsen_P_mg_kg;Bacteria_total;Microbial;Actinobacteria_total;Fungi_total;Total_plfa;AMF_NLFA;Mites_oribatid_kg;Mites_other_kg;Springtails_nr_kg;Abundance_anecic;Abundance_endogeic;Abundance_epigeic;Abundance_juvenile;Biomass_anecic;Biomass_endogeic;Biomass_epigeic;Biomass_juvenile
VB001;1;Location 1;Food_forest;2015;Clay;26-4-2021;10:30;52,13;5,01;95;6;62;5,211;0,74;1325;54,5;38,76581298;10,20961297;6,385718647;1,991581999;53,90354263;1,588667196;594,9;331,7;274;0;2;1;62;0;0,64;0,11;6,13
VB002;2;Location 1;Food_forest;2015;Clay;26-4-2021;11:35;52,13;5,01;96;4,66;61,7;4,159;0,84;1030;40,5;40,47433394;11,09945501;7,180851463;2,780966954;56,83858418;1,764268088;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB003;3;Location 1;Food_forest;2015;Clay;26-4-2021;12:35;52,13;5,01;101;5,98;56,2;4,133;0,75;1265;55,7;40,57138824;11,72258362;7,071870653;2,736936434;57,52511089;1,319187432;442,2;396,5;210,6;0;18;2;39;0;6,03;0,2;3,44
VB004;4;Location 1;Food_forest;2015;Clay;26-4-2021;13:15;52,13;5,01;104;5,66;54,6;4,231;0,7;1267;47,6;44,71968435;11,80585909;7,790319254;2,6788505;62,06694151;1,687136835;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB005;5;Location 1;Food_forest;2015;Clay;26-4-2021;13:53;52,13;5,01;99;5,33;57,1;5,197;0,79;1215;43,5;38,11911947;9,988877153;6,858187513;2,020246939;52,5928135;1,460767922;1446,7;410,2;272,4;0;8;1;18;0;1,92;0,04;0,86
VB006;6;Location 1;Food_forest;2015;Clay;26-4-2021;14:45;52,13;5,01;108;4,02;53,1;5,348;0,78;970;32,5;36,51799172;11,13256144;6,843706971;2,087971356;51,53435911;1,18114335;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB007;1;Location 1;Grassland;NA;Clay;26-4-2021;15:29;52,12;5,00;125;6,53;37;3,527;0,85;1402;106,3;42,71063355;10,97360584;6,651360058;2,416250001;59,98627155;2,854651276;583,1;556,7;131,9;4;35;0;37;12,79;14,79;0;8,54
VB008;2;Location 1;Grassland;NA;Clay;26-4-2021;15:59;52,12;5,00;124;6,15;36,5;3,066;1,04;1243;91,8;39,60555524;10,29236085;6,518554038;2,070474922;55,33533979;2,239988521;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB009;3;Location 1;Grassland;NA;Clay;26-4-2021;16:20;52,12;5,00;113;5,46;30,6;3,916;0,85;1213;82,8;31,49129438;9,539864365;4,894251403;2,271188559;46,09553119;1,985025013;375,6;467,1;814,3;1;16;0;26;2,44;6,21;0;4,69
VB010;4;Location 1;Grassland;NA;Clay;26-4-2021;16:40;52,12;5,00;133;5,75;39,3;2,507;0,87;1190;58,5;44,34388988;11,82288243;6,985758964;2,61873812;62,45389867;2,207683892;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB011;5;Location 1;Grassland;NA;Clay;26-4-2021;17:10;52,12;5,00;115;6,2;33,8;3,074;0,84;1412;100,1;40,26251041;11,7869915;6,443842339;4,581644639;60,10393372;2,105616144;557,9;1016;1517,3;3;12;0;47;7,33;3,73;0;6,15
VB012;6;Location 1;Grassland;NA;Clay;26-4-2021;17:40;52,12;5,00;110;5,28;38,5;3,023;0,88;1428;72,7;36,41805691;11,42710226;5,7416967;3,220932999;53,88990271;3,091479435;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB031;1;Location 2;Grassland;NA;Clay;12-5-2021;14:43;51,91;4,31;56;4,94;49,5;2,295;0,95;950;44,2;29,42622049;10,0861256;4,913878888;2,638285945;44,0317454;8,121354579;401;391,6;1155,9;1;8;0;19;0,59;2,6;0;0,92
VB032;2;Location 2;Grassland;NA;Clay;12-5-2021;15:52;51,91;4,31;79;6,09;45,5;2,549;0,87;1282;53,8;29,68869577;9,285007521;5,011296781;2,241918498;43,59648091;3,546902985;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB033;3;Location 2;Grassland;NA;Clay;12-5-2021;15:20;51,91;4,31;67;5,47;45,1;2,971;0,98;993;43,1;28,49515578;8,881303378;4,810814231;1,701448878;41,00535089;3,186433611;310,6;320,5;849,2;0;17;4;37;0;6,4;1,96;2,8
VB034;4;Location 2;Grassland;NA;Clay;13-5-2021;12:48;51,91;4,31;83;5,49;45,5;3,258;0,99;898;33,3;23,10644491;7,61777848;4,219398322;1,338123527;33,55106604;8,342016292;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB035;5;Location 2;Grassland;NA;Clay;13-5-2021;10:36;51,91;4,31;87;6,09;44,9;3,066;1,06;1017;45;24,13803046;8,163748554;4,028216837;3,041062076;37,44649703;12,61257126;235,8;434,7;1559,6;0;6;2;11;0;1,86;0,26;1,44
VB036;6;Location 2;Grassland;NA;Clay;13-5-2021;11:39;51,91;4,31;84;5,47;44,6;2,887;1,07;819;36,5;19,44216454;7,11393757;3,215711631;1,60385866;29,63790903;8,128476263;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB037;1;Location 2;Food_forest;2014;Clay;14-5-2021;09:52;51,91;4,31;80;6,24;55,1;2,596;0,94;854;40,2;22,51362936;8,26015176;3,226179042;2,167247502;34,79334923;1,052087399;115,1;65,1;295,3;0;3;2;17;0;0,71;0,25;0,94
VB038;2;Location 2;Food_forest;2014;Clay;14-5-2021;13:16;51,91;4,31;68;7;41,4;3,344;0,94;945;82,4;25,21684554;7,792676138;3,265146385;2,059816187;37,43343762;0,942954605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB039;3;Location 2;Food_forest;2014;Clay;14-5-2021;11:57;51,91;4,31;73;6,43;52,9;3,196;0,76;1760;119,9;35,57057246;11,68378147;5,234462948;2,392897347;52,30321394;3,169372437;780;1393,8;664,9;0;0;2;5;0;0;0,16;0,42
VB040;4;Location 2;Food_forest;2014;Clay;14-5-2021;14:10;51,91;4,31;71;6,82;52,2;2,933;0,87;1330;88,6;30,77460123;9,255929958;4,473165688;1,620839624;43,97179019;4,462670936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB041;5;Location 2;Food_forest;2014;Clay;14-5-2021;11:06;51,91;4,31;84;6,14;59;4,238;0,96;1209;70,9;34,08843183;10,69205592;4,884938487;2,714338037;50,13782546;1,235439482;2413,8;2005,9;664,9;0;1;2;4;0;0,22;0,24;0,22
VB042;6;Location 2;Food_forest;2014;Clay;14-5-2021;14:55;51,91;4,31;63;6,48;53,9;3,708;0,98;953;49,7;20,32549082;7,15481237;3,008349015;2,55992531;31,93542182;1,072674116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB043;1;Location 3;Food_forest;2013;Sand;18-5-2021;13:10;53,15;6,16;35;4,14;16,4;1,448;0,81;244;51,4;7,648840352;3,415103855;1,033627075;0,364663632;11,73456145;0,190209186;1946;707,2;302,7;0;0;0;0;0;0;0;0
VB044;2;Location 3;Food_forest;2013;Sand;18-5-2021;13:56;53,16;6,16;36;4,33;17,8;1,219;1,09;255;41,6;7,545136368;3,478502204;1,007495615;0,468800836;11,8939034;0,439156193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB045;3;Location 3;Food_forest;2013;Sand;18-5-2021;14:34;53,15;6,15;24;4,18;20,5;1,597;1,08;340;52,4;10,97193884;5,04129093;1,630387716;0,656358664;17,12957996;0,307117565;486,4;361,8;795,1;0;0;0;0;0;0;0;0
VB046;4;Location 3;Food_forest;2013;Sand;18-5-2021;15:57;53,15;6,15;47;4,28;16;1,696;1,19;414;84,6;8,207396811;3,499533636;1,133221624;0,43991779;12,55375156;0,209010934;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VB047;5;Location 3;Food_forest;2013;Sand;18-5-2021;16:41;53,15;6,15;51;4,16;20,5;2,013;1,2;352;65,3;9,881857192;4,321790435;1,411560074;0,486131174;15,21150339;0,223370168;316,9;257,7;273;0;0;0;0;0;0;0;0
