litter_species;code;ug;n_ug;c_ug;n_proc;c_proc;cn_ratio
Alder;31;893;15,0102663;423,6659241;1,680880885;47,44299262;28,22507712
Alder;32;971;18,48385239;482,4090576;1,903589329;49,68167432;26,09894558
Alder;33;652;13,68073082;324,1716003;2,098271598;49,7195706;23,69548854
Alder;34;865;18,27051353;428,8410034;2,112198096;49,57699461;23,47175423
Alder;35;824;14,95447063;402,6939392;1,814862941;48,87062369;26,92799692
Alder;36;781;15,80891705;386,8241272;2,024189122;49,52933767;24,46873028
Alder;37;937;16,4456501;405,52005;1,755138751;43,2785539;24,65819518
Alder;38;1047;21,55920601;512,680603;2,059140975;48,96662875;23,7801245
Alder;39;987;20,85956573;503,1467896;2,113431179;50,97738496;24,12067422
Alder;40;868;14,5327177;426,6931152;1,674276233;49,158193;29,36086174
Hazel;41;750;14,80513287;343,1221008;1,974017715;45,74961344;23,17588798
Hazel;42;947;18,80714035;434,7775879;1,98597047;45,91104413;23,11768721
Hazel;43;837;14,79009056;401,6501465;1,767035909;47,98687533;27,15670637
Hazel;44;893;14,102211;411,2833252;1,579194961;46,0563634;29,16445692
Hazel;45;895;15,83900356;411,3271484;1,769721068;45,95834061;25,96925664
Hazel;46;1028;19,29481125;464,776825;1,876927164;45,2117534;24,08817681
Hazel;47;772;11,99344349;346,5667114;1,553554856;44,89206107;28,89634755
Hazel;48;986;18,08917618;472,7752075;1,834602046;47,94880401;26,13580646
Hazel;49;875;15,41670322;420,0031738;1,76190894;48,00036272;27,24338451
Hazel;50;867;14,23185539;393,3038025;1,641505812;45,36376038;27,63545523
Chestnut;51;792;16,54192543;403,6040344;2,088626948;50,96010536;24,39885466
Chestnut;52;826;16,3734436;417,9056702;1,982257095;50,5939068;25,52338288
Chestnut;53;867;12,98437214;438,6853638;1,497620777;50,59808117;33,78564316
Chestnut;54;885;13,48079491;439,2078857;1,523253662;49,62800969;32,58026613
Chestnut;55;807;11,76369476;403,4313965;1,45770691;49,99149894;34,29461616
Chestnut;56;845;15,41724968;425,2512817;1,824526589;50,32559547;27,58282382
Chestnut;57;803;15,42354107;411,7095642;1,920739859;51,27142767;26,69358239
Chestnut;58;876;16,76620483;445,3556519;1,913950324;50,83968628;26,56269897
Chestnut;59;838;12,38319588;411,8349609;1,477708339;49,14498341;33,25756655
Chestnut;60;765;12,49123287;390,2991333;1,632840898;51,01949455;31,24584557
